"","name","number","start.freq","end.freq"
"384","East Falls Church Metro/Sycamore St & 19th St N",31904,1966,1940
"385","East West Hwy & 16th St",32056,1588,1119
"386","Henry Bacon Dr & Lincoln Memorial Circle NW",31289,62128,61419
"387","Lyttonsville Rd & Lyttonsville Pl",32054,657,680
"388","Potomac Ave & Main Line Blvd",31910,1643,1794
"389","Radford & Osage St",31908,981,687
"390","Royal & Wilkes St",31903,2270,2746
"391","South Capitol & Atlantic St SW",31811,273,451
"392","Woodmont Ave & Strathmore St",32055,4111,3667
"393","14th & Irving St NW",31124,30710,20640
"394","16th & Q St SE / Anacostia HS",31812,862,1020
"395","1st & D St SE",31643,16945,15910
"396","24th & R St NE / National Arboretum",31520,3546,3476
"397","Division Ave & Foote St NE",31713,164,168
"398","Franklin & S Washington St",31907,3507,3998
"399","Kennebec St & 11th St N",31905,1535,1572
"400","Lee Center",31914,1602,1772
"401","Mount Vernon Ave & Bruce St",31912,695,983
"402","Mount Vernon Ave & Four Mile Run Park",31909,2052,2200
"403","New Jersey Ave & L St NW",31642,5769,5050
"404","Potomac & Swann Ave",31916,4928,5364
"405","Powhatan St & Bashford Ln",31915,2063,2287
"406","Vermont Ave & I St NW",31291,13268,12860
"407","Wisconsin Ave & Brandywine St NW",31319,3559,1398
"408","12th St & Pennsylvania Ave SE",31644,4972,4734
"409","22nd St & Constitution Ave NW",31292,9499,8229
"410","3rd St & Riggs Rd NE",31412,600,914
"411","61st St & Banks Pl NE",31714,100,125
"412","6th & K St NE",31645,7643,8044
"413","Carlin Springs Rd & N Thomas St",31919,1736,1351
"414","Greensboro & International Dr",32221,189,154
"415","Jones Branch & Westbranch Dr",32206,118,221
"416","Library St & Freedom Dr",32216,464,460
"417","Madison & Fairfax St",31918,3442,4039
"418","N Lynn St & Fairfax Dr",31917,5535,6871
"419","New Dominion Pkwy & Fountain Dr",32212,289,273
"420","Reston Regional Library",32211,71,77
"421","Reston Station",32215,2503,2601
"422","Reston Town Center Transit Station",32214,1475,1426
"423","Reston YMCA",32219,369,383
"424","Sligo Ave & Carroll Ln",32058,1195,1172
"425","Solutions & Greensboro Dr",32202,42,28
"426","Spring Hill Metro",32200,239,257
"427","Sunset Hills & Old Reston Ave",32213,876,825
"428","Temporary Rd & Old Reston Ave",32218,573,503
"429","Towers Crescent Dr & Tysons One Pl",32222,128,126
"430","Town Center Pkwy & Bowman Towne Dr",32210,259,258
"431","Tysons Corner Station",32204,943,782
"432","Tysons West Transit Center",32208,146,153
"433","Westpark & Jones Branch Dr",32205,720,750
"434","Westpark & Park Run Dr",32207,284,285
"435","Westpark Dr & Leesburg Pike",32201,154,151
"436","15th & W St NW",31125,16737,17460
"437","18th & Monroe St NE",31521,508,972
"438","31st & Water St NW",31293,7363,11353
"439","3rd & Underwood St NW",31413,1104,1122
"440","7th & E St SW",31294,6747,7111
"441","Amherst Ave & Elkins St",32063,363,364
"442","Amherst Ave & Prichard Rd",32064,166,121
"443","Georgia Ave & Piney Branch Rd NW",31414,968,772
"444","Grandview & Blueridge Ave",32065,258,274
"445","New Hampshire & Kirklynn Ave",32061,128,105
"446","North Shore & Cameron Crescent Dr/Crescent Apartments",32209,114,121
"447","North Shore Dr & Village Rd",32223,304,396
"448","Pooks Hill Rd & Linden Ave",32057,396,366
"449","Sunset Hills Rd & Discovery Square",32217,498,312
"450","Takoma Park Rec Center",32059,132,239
"451","Tysons One Pl & Chain Bridge Rd",32203,233,248
"452","Wheaton Metro/Georgia Ave & Reedie Dr",32062,576,488
"453","Windham Ln & Amherst Ave",32066,242,290
"454","11th & Girard St NW",31126,7596,6479
"455","15th & M St NW",31298,9513,9238
"456","15th St & Constitution Ave NW",31321,14970,16083
"457","2nd St & Seaton Pl NE",31522,3185,2414
"458","Columbia & Ontario Rd NW",31296,8216,5860
"459","Columbia Pike & S Taylor St",31923,152,144
"460","Columbus Ave & Gramercy Blvd",32069,90,86
"461","Columbus Ave & Tribeca St",32068,754,745
"462","Connecticut Ave & R St NW",31299,8231,8309
"463","Key West Ave & Great Seneca Hwy",32070,58,52
"464","Nebraska Ave/AU East Campus",31320,851,839
