"","tract","name","number","start.freq","end.freq","lat","lng","state","number.of.households","avg.household.size","percent.disability","percent.veterans","number.of.children","percent.children","number.enrolled.in.school","percent.schooling.no.diploma","percent.schooling.hs.graduate","percent.schooling.some.college","percent.schooling.associates","percent.schooling.bachelors","percent.schooling.graduate.or.professional","percent.hs.or.higher","percent.bachelor.or.higher","percent.in.labor.force","number.commuting.to.work","percent.commute.car.alone","percent.commute.car.carpool","percent.commute.public.transit","percent.commute.walking","percent.commute.other.means","mean.travel.time.work","percent.income.less10k","percent.income.10k.15k","percent.income.15k.25k","percent.income.25k.35k","percent.income.35k.50k","percent.income.50k.75k","percent.income.75k.100k","percent.income.100k.150k","percent.income.150k.200k","percent.income.greater200k","median.income","mean.income","percent.families.below.poverty.line","percent.moved.2015.later","percent.moved.2010.2014","percent.moved.2000.2009","percent.moved.1990.1999","percent.moved.1980.1989","percent.moved.1979.earlier","percent.female","percent.race.black","percent.race.american.indian","percent.race.asian","percent.race.pacific.islander","percent.race.other","percent.race.two","percent.race.white"
"466","1400000US51510201300","Mount Vernon Ave & E Del Ray Ave",31086,7563,9524,38.8261213,-77.0586399,"VA","1528","2.27","6.3","11.0","683","19.7","687","1.8","5.9","6.2","2.2","39.5","43.2","97.1","82.7","85.8","2310","61.9","9.4","18.4","2.5","3.3","27.7","3.1","0.0","1.6","2.7","7.1","13.7","9.8","21.5","19.6","20.9","125800","142781","0.0","9.2","40.2","29.5","10.3","3.8","6.9","55.5","9.9","0.0","2.5","0.0","0.8","4.0","82.8"
"467","1400000US51510201300","Monroe Ave & Leslie Ave",31087,6535,7041,38.8209884,-77.0528059,"VA","1528","2.27","6.3","11.0","683","19.7","687","1.8","5.9","6.2","2.2","39.5","43.2","97.1","82.7","85.8","2310","61.9","9.4","18.4","2.5","3.3","27.7","3.1","0.0","1.6","2.7","7.1","13.7","9.8","21.5","19.6","20.9","125800","142781","0.0","9.2","40.2","29.5","10.3","3.8","6.9","55.5","9.9","0.0","2.5","0.0","0.8","4.0","82.8"
"468","1400000US51510201400","Commonwealth & E Monroe Ave",31913,1904,1957,38.8200818,-77.0630229,"VA","1837","2.15","4.3","8.6","1030","26.1","877","0.7","6.6","7.0","1.4","34.2","47.8","97.0","82.0","83.2","2582","54.0","7.1","18.4","8.7","4.7","27.9","0.0","0.0","4.9","0.0","4.8","15.6","15.7","16.5","16.5","26.0","115474","150035","0.8","7.3","40.3","33.5","7.9","5.1","5.8","56.3","3.9","0.0","2.6","0.3","2.3","1.4","89.4"
"469","1400000US51510201400","Mount Vernon Ave & E Nelson Ave",31085,6460,6488,38.8196106,-77.0574538,"VA","1837","2.15","4.3","8.6","1030","26.1","877","0.7","6.6","7.0","1.4","34.2","47.8","97.0","82.0","83.2","2582","54.0","7.1","18.4","8.7","4.7","27.9","0.0","0.0","4.9","0.0","4.8","15.6","15.7","16.5","16.5","26.0","115474","150035","0.8","7.3","40.3","33.5","7.9","5.1","5.8","56.3","3.9","0.0","2.6","0.3","2.3","1.4","89.4"
"470","1400000US51510201500","Commonwealth Ave & Oak St",31906,1650,1775,38.812802,-77.0619023,"VA","1470","2.43","3.7","10.8","1014","28.4","736","0.9","6.3","10.1","2.0","24.3","54.2","97.0","78.5","68.9","2076","43.2","6.6","35.8","1.4","3.5","31.2","1.9","0.0","1.0","1.9","1.1","9.2","11.0","23.1","15.9","34.9","154219","183401","0.0","6.3","23.5","27.9","20.7","7.2","14.4","52.7","2.9","0.0","1.0","0.0","1.8","1.5","92.8"
"471","1400000US51510201600","Madison & N Henry St",31099,3403,2583,38.81356,-77.04968,"VA","2564","1.83","2.3","8.0","554","11.8","572","1.3","6.3","11.2","3.6","31.8","44.4","97.4","76.2","83.7","3409","37.8","3.8","42.7","5.4","3.6","31.4","7.4","2.7","0.5","1.1","2.9","12.5","10.6","32.0","10.3","20.2","125852","134678","12.4","10.1","55.1","19.5","10.2","1.0","4.2","53.4","18.3","0.7","5.1","0.0","1.5","5.6","68.7"
"472","1400000US51510201600","Henry St & Pendleton St",31046,7283,6753,38.8112911,-77.0501472,"VA","2564","1.83","2.3","8.0","554","11.8","572","1.3","6.3","11.2","3.6","31.8","44.4","97.4","76.2","83.7","3409","37.8","3.8","42.7","5.4","3.6","31.4","7.4","2.7","0.5","1.1","2.9","12.5","10.6","32.0","10.3","20.2","125852","134678","12.4","10.1","55.1","19.5","10.2","1.0","4.2","53.4","18.3","0.7","5.1","0.0","1.5","5.6","68.7"
"473","1400000US51510201600","Braddock Rd Metro",31047,37661,31007,38.8113858,-77.0492504,"VA","2564","1.83","2.3","8.0","554","11.8","572","1.3","6.3","11.2","3.6","31.8","44.4","97.4","76.2","83.7","3409","37.8","3.8","42.7","5.4","3.6","31.4","7.4","2.7","0.5","1.1","2.9","12.5","10.6","32.0","10.3","20.2","125852","134678","12.4","10.1","55.1","19.5","10.2","1.0","4.2","53.4","18.3","0.7","5.1","0.0","1.5","5.6","68.7"
"474","1400000US51510201801","Potomac Ave & Main Line Blvd",31910,1643,1794,38.8227299,-77.048856,"VA","3686","1.70","7.7","10.4","740","11.8","634","0.6","7.3","6.2","3.3","37.7","43.7","98.1","81.4","76.8","4345","55.2","4.3","21.6","3.0","4.7","29.0","3.2","4.3","4.2","1.9","3.6","8.9","15.8","19.2","13.9","25.0","115368","154070","4.4","10.2","43.3","29.5","13.6","1.4","2.0","51.9","14.4","0.0","7.1","0.0","3.9","1.5","73.1"
"475","1400000US51510201801","Potomac & Swann Ave",31916,4928,5364,38.8295941,-77.0479471,"VA","3686","1.70","7.7","10.4","740","11.8","634","0.6","7.3","6.2","3.3","37.7","43.7","98.1","81.4","76.8","4345","55.2","4.3","21.6","3.0","4.7","29.0","3.2","4.3","4.2","1.9","3.6","8.9","15.8","19.2","13.9","25.0","115368","154070","4.4","10.2","43.3","29.5","13.6","1.4","2.0","51.9","14.4","0.0","7.1","0.0","3.9","1.5","73.1"
"476","1400000US51510201801","Potomac Greens Dr & Slaters Ln",31083,7900,8545,38.8214242,-77.0473974,"VA","3686","1.70","7.7","10.4","740","11.8","634","0.6","7.3","6.2","3.3","37.7","43.7","98.1","81.4","76.8","4345","55.2","4.3","21.6","3.0","4.7","29.0","3.2","4.3","4.2","1.9","3.6","8.9","15.8","19.2","13.9","25.0","115368","154070","4.4","10.2","43.3","29.5","13.6","1.4","2.0","51.9","14.4","0.0","7.1","0.0","3.9","1.5","73.1"
"477","1400000US51510201801","Powhatan St & Bashford Ln",31915,2063,2287,38.8186535,-77.0475541,"VA","3686","1.70","7.7","10.4","740","11.8","634","0.6","7.3","6.2","3.3","37.7","43.7","98.1","81.4","76.8","4345","55.2","4.3","21.6","3.0","4.7","29.0","3.2","4.3","4.2","1.9","3.6","8.9","15.8","19.2","13.9","25.0","115368","154070","4.4","10.2","43.3","29.5","13.6","1.4","2.0","51.9","14.4","0.0","7.1","0.0","3.9","1.5","73.1"
"478","1400000US51510201801","Saint Asaph St & Pendleton  St",31043,13317,16067,38.8106028,-77.044629,"VA","3686","1.70","7.7","10.4","740","11.8","634","0.6","7.3","6.2","3.3","37.7","43.7","98.1","81.4","76.8","4345","55.2","4.3","21.6","3.0","4.7","29.0","3.2","4.3","4.2","1.9","3.6","8.9","15.8","19.2","13.9","25.0","115368","154070","4.4","10.2","43.3","29.5","13.6","1.4","2.0","51.9","14.4","0.0","7.1","0.0","3.9","1.5","73.1"
"479","1400000US51510201801","Madison & Fairfax St",31918,3442,4039,38.81246,-77.04082,"VA","3686","1.70","7.7","10.4","740","11.8","634","0.6","7.3","6.2","3.3","37.7","43.7","98.1","81.4","76.8","4345","55.2","4.3","21.6","3.0","4.7","29.0","3.2","4.3","4.2","1.9","3.6","8.9","15.8","19.2","13.9","25.0","115368","154070","4.4","10.2","43.3","29.5","13.6","1.4","2.0","51.9","14.4","0.0","7.1","0.0","3.9","1.5","73.1"
"480","1400000US51510201801","Saint Asaph & Madison St",31097,6299,7094,38.8128782,-77.0441438,"VA","3686","1.70","7.7","10.4","740","11.8","634","0.6","7.3","6.2","3.3","37.7","43.7","98.1","81.4","76.8","4345","55.2","4.3","21.6","3.0","4.7","29.0","3.2","4.3","4.2","1.9","3.6","8.9","15.8","19.2","13.9","25.0","115368","154070","4.4","10.2","43.3","29.5","13.6","1.4","2.0","51.9","14.4","0.0","7.1","0.0","3.9","1.5","73.1"
