STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/24/2010,8.05,0,0,,47,37,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/25/2010,17.22,0.01,0,,43,31,,,,,1,,,,,,,,,1,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/26/2010,19.24,0,0,,39,30,,,,,,,,,,,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/27/2010,9.62,0.01,0.1,,47,31,,,,,,,,,,,,,,1,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/28/2010,12.08,0,0,,47,36,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/1/2010,12.53,0,0,,50,37,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/2/2010,7.61,0.06,0,,43,36,1,,,,1,,,,,,1,1,,1,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/3/2010,15.43,0,0,,42,37,,,,,1,,,,,,,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/4/2010,14.99,0,0,,48,35,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/5/2010,15.21,0,0,,52,36,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/6/2010,12.3,0,0,,54,33,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/7/2010,8.28,0,0,,59,38,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/8/2010,9.17,0,0,,62,37,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/9/2010,4.47,0,0,,64,39,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/10/2010,4.03,0,0,,65,43,,,,,,,1,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/11/2010,6.26,0,0,,65,46,1,,,,1,,1,1,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/12/2010,13.2,0.61,0,,55,48,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/13/2010,12.97,0.6,0,,55,48,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/14/2010,8.5,0.31,0,,52,49,1,,,,1,,,1,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/15/2010,14.32,0.05,0,,50,46,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/16/2010,9.84,0,0,,64,45,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/17/2010,2.91,0,0,,68,41,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/18/2010,3.13,0,0,,71,41,,,,,,,,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/19/2010,5.14,0,0,,73,44,,,,,,,,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/20/2010,4.47,0,0,,74,46,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/21/2010,7.61,0,0,,76,49,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/22/2010,8.95,0.53,0,,65,51,1,,1,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/23/2010,12.53,0.01,0,,54,45,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/24/2010,9.4,0,0,,68,48,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/25/2010,10.29,0.02,0,,74,47,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/26/2010,13.2,0.32,0,,56,38,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/27/2010,9.62,0,0,,49,33,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/28/2010,7.38,0.8,0,,62,38,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/29/2010,7.38,0.22,0,,57,51,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/30/2010,19.46,0.02,0,,57,45,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/31/2010,12.75,0,0,,71,49,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/1/2010,3.8,0,0,,74,46,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/2/2010,5.59,0,0,,77,53,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/3/2010,6.04,0,0,,73,49,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/4/2010,4.47,0,0,,77,54,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/5/2010,5.14,0,0,,83,55,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/6/2010,10.29,0,0,,90,62,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/7/2010,11.41,0,0,,90,63,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/8/2010,15.21,0.62,0,,83,56,1,,1,,1,,,1,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/9/2010,14.54,0.07,0,,59,46,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/10/2010,6.49,0,0,,66,43,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/11/2010,6.04,0,0,,76,46,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/12/2010,6.26,0,0,,73,54,,,,,,,,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/13/2010,9.4,0.12,0,,58,48,1,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/14/2010,5.37,0,0,,64,45,1,,,,,,1,1,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/15/2010,6.71,0,0,,73,44,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/16/2010,11.41,0,0,,85,57,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/17/2010,18.12,0,0,,69,46,,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/18/2010,11.41,0,0,,59,41,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/19/2010,10.07,0,0,,66,46,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/20/2010,4.7,0,0,,69,47,,,,,,,,,,,,,,,,,,
